,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,a,j,b,c,j,j,g,g,j,j,j,b,j,j,j,h,f,f,j,j,e,h,j,j,j,j,e,h,i,j,b,j,c,j,j,j,f,j,d,j,g,e,j,c,j
2,a,j,b,c,j,j,i,g,j,j,j,b,j,j,j,i,f,f,i,j,e,g,j,j,j,j,e,h,h,j,b,j,c,j,j,j,f,j,f,j,g,e,j,c,j
3,a,j,c,c,j,j,j,g,j,j,j,c,j,j,j,j,h,f,j,j,e,f,j,j,j,j,f,h,i,j,c,j,c,j,j,j,g,j,f,j,g,e,j,d,j
4,a,j,d,d,j,j,j,g,j,j,j,d,j,j,j,j,h,g,j,j,f,g,j,j,j,j,g,i,i,j,c,j,d,j,j,j,i,j,f,j,h,e,j,e,j
5,a,j,c,d,j,j,f,g,j,j,j,c,j,j,j,j,i,f,j,j,e,f,j,j,j,j,f,i,i,j,c,i,c,j,j,j,i,i,e,j,h,d,j,e,j
6,a,j,c,e,j,j,f,g,j,j,j,c,j,j,j,j,i,e,j,j,d,f,j,j,j,j,f,h,h,j,c,i,c,j,j,j,i,i,c,j,g,d,j,e,j
7,a,j,c,d,j,j,e,g,j,j,j,c,j,j,j,j,i,e,j,j,d,d,j,j,j,j,e,h,h,j,c,i,c,j,j,h,i,i,c,j,g,d,j,e,j
8,a,i,c,e,j,j,e,h,j,j,j,c,j,j,j,j,i,e,j,j,d,e,j,j,j,j,e,h,h,j,c,i,d,j,j,i,i,i,d,j,g,d,j,f,j
9,b,i,c,f,j,j,g,g,j,j,j,c,j,j,j,j,i,e,j,j,c,e,j,j,j,j,e,h,h,j,c,i,d,j,j,i,i,i,d,i,g,d,j,f,j
10,b,g,b,e,j,j,f,e,i,i,j,b,i,j,j,j,g,d,i,j,c,c,j,i,i,g,e,g,g,j,b,h,d,i,i,i,h,g,c,f,e,b,i,e,j
11,b,h,b,d,i,i,e,d,i,h,j,b,h,j,i,i,f,d,i,j,c,b,g,i,i,e,d,f,e,i,b,f,c,h,h,h,g,d,d,e,e,b,i,e,i
12,b,e,a,b,f,f,a,a,e,c,g,a,d,h,f,d,b,b,e,i,c,a,e,f,e,a,a,c,c,g,a,b,c,a,a,d,a,a,b,b,c,a,e,b,g
13,b,b,a,a,c,e,a,a,b,a,d,a,b,g,d,b,a,b,b,f,b,a,d,c,d,a,a,a,b,c,a,a,b,a,a,b,a,a,a,a,b,a,b,a,d
14,b,b,a,a,a,b,a,a,a,a,b,a,a,d,b,a,a,a,a,d,b,a,c,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b
15,b,c,a,a,c,d,a,a,a,b,e,a,c,e,c,a,a,a,b,e,b,a,d,b,c,d,a,a,a,b,a,a,a,a,a,b,a,c,a,a,a,a,b,a,c
16,c,b,a,a,b,c,a,a,a,b,c,a,b,c,b,a,a,a,a,e,b,a,d,b,b,c,a,a,a,a,a,a,a,a,a,b,a,c,c,a,a,a,a,a,c
17,c,b,a,a,c,d,a,a,b,b,c,a,b,d,b,a,a,a,a,e,b,a,d,c,b,b,a,a,b,b,a,a,a,b,b,b,b,c,b,a,a,b,b,a,c
18,c,b,b,a,c,e,b,a,b,c,c,b,c,e,c,b,a,b,a,e,c,b,e,c,c,b,a,a,b,b,a,a,a,b,b,b,b,c,b,a,a,b,d,a,c
19,c,b,c,b,b,d,b,a,b,c,d,c,c,d,c,b,a,b,a,e,c,b,e,b,b,d,b,b,c,c,b,a,b,b,b,b,a,d,b,a,a,a,d,a,d
20,c,b,c,a,b,c,e,a,b,d,d,c,c,c,c,a,b,b,a,d,c,b,d,b,b,f,c,b,b,c,b,b,b,b,b,b,a,d,c,b,a,b,d,a,d
21,c,b,d,a,b,b,g,a,c,c,c,d,b,c,c,a,b,b,a,d,c,b,d,b,b,f,d,b,a,b,b,b,b,b,b,c,a,c,d,a,a,b,d,b,b
22,d,b,f,a,b,b,i,a,b,d,b,f,a,b,b,a,b,b,a,c,c,b,d,b,b,g,e,a,a,a,c,a,b,c,b,b,a,c,h,a,a,b,c,b,a
23,d,b,f,a,b,b,i,a,b,f,b,f,a,b,b,b,b,b,a,c,c,a,c,b,b,g,e,a,a,a,c,a,b,b,b,b,a,d,g,b,a,c,c,b,a
